	run	task	split	label	tn_count	fp_count	fn_count	tp_count	stratifier	stratum_key
0	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	acl	24902	42	124	42		
1	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	acl:relcl	24842	40	150	78		
2	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	advcl	24718	28	314	50		
3	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	advmod	23700	97	219	1094		
4	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	amod	23708	155	186	1061		
5	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	appos	24922	13	154	21		
6	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	aux	24291	65	33	721		
7	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	aux:pass	24923	25	21	141		
8	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	case	22965	131	89	1925		
9	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	cc	24317	8	18	767		
10	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	cc:preconj	25096	0	9	5		
11	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	ccomp	24830	52	143	85		
12	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	compound	23856	220	569	465		
13	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	compound:prt	25018	18	22	52		
14	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	conj	24165	27	847	71		
15	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	cop	24476	42	41	551		
16	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	csubj	25070	0	38	2		
17	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	csubj:pass	25110	0	0	0		
18	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	dep	25108	0	2	0		
19	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	det	23226	61	35	1788		
20	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	det:predet	25087	2	14	7		
21	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	discourse	24986	1	71	52		
22	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	dislocated	25110	0	0	0		
23	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	expl	25017	6	20	67		
24	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	fixed	25046	6	4	54		
25	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	flat	24875	23	71	141		
26	../../../../jiant_outputs_in_sentence/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	flat:foreign	25097	0	13	0		
